"filename", "language", "C#", "comment", "blank", "total"
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\EnemyAlertet.cs", "C#", 9, 0, 6, 15
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\DialogTrigger.cs", "C#", 3, 0, 3, 6
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Enemy1Ai.cs", "C#", -1, 0, 0, -1
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Player\PlayerMovment.cs", "C#", 13, -1, 1, 13
"c:\Programering\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\ShutTheDuckUpBreakOut\Assets\Script\Wandering.cs", "C#", 20, -2, 15, 33
"Total", "-", 44, -3, 25, 66
